Iranian,Albanian,Berber,Semitic,Romance,Germanic,Armenian,Oghuz,Indo-Aryan,Slavic,Tibeto-Kanauri,Malayo-Ploynesian,Khmeric,Sinitic,Atlantic–Congo,Hellenic,Quechuan,Finnic,Oceanic,Karto-Zan,Circum-Caribbean French,Ugric,Japonic,Kipchak,Tai,Baltic,Barito,Mongolic,Lolo-Burmese,Tupi-Guarani,Aymaran,Japanese,Koreanic,Dravidian,Karluk,Vietic,Iranian_T,Albanian_T,Berber_T,Semitic_T,Romance_T,Germanic_T,Armenian_T,Oghuz_T,Indo-Aryan_T,Slavic_T,Tibeto-Kanauri_T,Malayo-Ploynesian_T,Khmeric_T,Sinitic_T,Atlantic–Congo_T,Hellenic_T,Quechuan_T,Finnic_T,Oceanic_T,Karto-Zan_T,Circum-Caribbean French_T,Ugric_T,Japonic_T,Kipchak_T,Tai_T,Baltic_T,Barito_T,Mongolic_T,Lolo-Burmese_T,Tupi-Guarani_T,Aymaran_T,Japanese_T,Koreanic_T,Dravidian_T,Karluk_T,Vietic_T
ESFJ,INFP,INFP,INFP,INFP,INFP,INFP,INFP,INFP,INFP,INFP,INFP,INFP,INFP,ESFJ,INFP,ENFP,INFP,ENFP,INFP,ENFP,INFP,INFP,ENFP,ENFP,INFP,INFP,INFP,INFP,INFP,INFP,INFP,INFP,INFP,ESTJ,INFP,0.2302999999999998,0.2249999999999998,0.3071999999999999,2.745699999999999,6.076499999999998,7.890999999999999,0.1138,0.3698999999999998,0.9477999999999998,2.0052999999999996,0.15660000000000002,0.9436999999999999,0.1491,0.26189999999999997,0.9879999999999999,0.2787999999999999,0.2949,0.357,0.1464,0.10939999999999989,0.5377999999999996,0.15689999999999998,0.1644,0.2022,0.2736999999999999,0.3354999999999999,0.1546,0.10669999999999999,0.1414,0.17109999999999997,0.15589999999999998,0.1339,0.1339,0.2894,0.1053999999999999,0.1446999999999999
ENFP,ENFP,INTP,ENFP,ENFP,ENFP,ENFP,ENFP,ENFP,ENFP,ENFP,ENFP,ENFP,ENFP,ENFP,ENFP,INFP,ENFP,INFP,INTP,INFP,ENFP,ENFP,INFP,INFP,INTP,ENFP,ENFP,ENFP,ENFP,ENFP,ENFP,ENFP,ENFP,ENFP,ENFP,0.21949999999999992,0.2097,0.27069999999999994,2.5698999999999983,6.002399999999998,6.7703999999999995,0.1057,0.3347999999999998,0.7734999999999999,1.6615999999999995,0.139,0.7493999999999997,0.1273,0.2203,0.8239999999999994,0.2569,0.2946,0.2582999999999999,0.1348,0.1066,0.5087,0.1214999999999999,0.1378,0.19959999999999992,0.2627999999999998,0.2398,0.1315,0.09659999999999999,0.1094999999999999,0.12819999999999998,0.14839999999999998,0.126,0.126,0.2694,0.1017,0.1193
ESTJ,ENTP,ENFP,INTP,ESFJ,ESFJ,INTP,INTP,ESFJ,INTP,ESFJ,ESFJ,ESFJ,ISFJ,INFP,ENFJ,INTP,INTP,ESFJ,ENFP,ESFJ,INTP,INTP,INTP,ESFJ,ENFP,INTP,ENFJ,ESFJ,INTP,INTP,ESFJ,ESFJ,ESFJ,ESFJ,ESFJ,0.1939,0.1678999999999998,0.2034,1.7674999999999996,3.8953999999999986,5.234399999999998,0.0839,0.2506,0.5369999999999998,1.4966999999999997,0.1368999999999999,0.6071,0.1139,0.2107,0.7392999999999998,0.16159999999999988,0.1735999999999999,0.18309999999999998,0.1205,0.09069999999999989,0.39629999999999993,0.0978,0.0718999999999999,0.1672999999999999,0.2132,0.2214,0.1039999999999999,0.0823,0.09749999999999989,0.1045999999999999,0.0928,0.08349999999999999,0.08349999999999999,0.1976,0.0853,0.10239999999999999
INFP,INTP,INTJ,ESFJ,ENFJ,INFJ,ENTP,ENFJ,ENFJ,ENTP,ISFJ,ISFJ,INFJ,ESFJ,ISFJ,INTP,ESFJ,INFJ,ENFJ,ENTP,ENFJ,INFJ,ISFJ,ESFJ,ESFP,ENTP,ESFJ,ESFJ,ISFJ,INTJ,ESFJ,ISFJ,ISFJ,ISFJ,ENTP,ISFJ,0.1847,0.16289999999999988,0.1588,1.7134999999999998,3.404899999999999,4.421399999999998,0.0821,0.2247999999999999,0.4487999999999999,1.1656999999999995,0.0757999999999999,0.5235999999999996,0.0733,0.196,0.6594999999999998,0.15910000000000002,0.1474999999999999,0.1656,0.08940000000000001,0.0848,0.31,0.0838,0.0682,0.16699999999999998,0.1516,0.1495,0.0661999999999999,0.0764,0.0793999999999999,0.0727,0.07339999999999999,0.07659999999999989,0.07659999999999989,0.1672999999999999,0.0789999999999999,0.0732
ISFJ,ENFJ,ENTP,ENFJ,INFJ,ISFJ,ENFJ,ENTP,INFJ,INFJ,ESFP,ISFP,ISFJ,ISFP,ENFJ,INFJ,ENFJ,ISFJ,INFJ,INTJ,INFJ,ENTP,INFJ,ENFJ,ISFJ,INFJ,ENFJ,INTP,ISFP,INFJ,ENFJ,ISFP,ISFP,ISFP,INFP,ISFP,0.1326999999999999,0.15889999999999999,0.15839999999999999,1.5679999999999996,3.280799999999999,4.120599999999999,0.07919999999999999,0.2174999999999999,0.4449,1.0559999999999996,0.0688,0.49009999999999976,0.0708,0.1881999999999999,0.6096999999999998,0.1548,0.143,0.1160999999999999,0.077,0.07780000000000001,0.2981999999999999,0.06770000000000001,0.0678999999999999,0.1515,0.15,0.137,0.0635,0.0726,0.0752999999999998,0.0717,0.0726,0.06609999999999999,0.06609999999999999,0.1515999999999999,0.07179999999999989,0.0718
ISFP,INFJ,INFJ,INFJ,INTP,ENFJ,ESTJ,ESFJ,INTP,ENFJ,ENFJ,ESFP,ENFJ,ESFP,INFJ,ENTP,INFJ,ENTP,ISFJ,ESTJ,ISFJ,INTJ,ESFJ,ESTJ,ENFJ,INTJ,ISFJ,ESTJ,ESFP,ENTP,INFJ,ESFP,ESFP,ESFP,ISFJ,ENFJ,0.1142999999999999,0.1550999999999998,0.1481999999999999,1.5478,3.1849999999999987,3.9888999999999992,0.0739999999999999,0.216,0.38059999999999966,0.9574999999999996,0.0652999999999999,0.4720999999999997,0.06939999999999999,0.15489999999999998,0.5580999999999998,0.1397999999999999,0.1294999999999999,0.11410000000000001,0.06670000000000001,0.0714999999999999,0.28489999999999993,0.0647,0.0674999999999999,0.136,0.1417999999999999,0.1208,0.0616,0.0670999999999999,0.0737,0.0683999999999999,0.0647999999999999,0.0635999999999999,0.0635999999999999,0.1476,0.0717,0.06659999999999999
ENTP,ENTJ,ENFJ,ENTP,ISFJ,INTP,INFJ,INFJ,ESFP,INTJ,INFJ,INFJ,ESFP,INFJ,ESTJ,ESFJ,ENTP,ENFJ,ESFP,ENTJ,ESFP,ENFJ,ISFP,ENTP,INFJ,ENFJ,ENTP,INFJ,INTP,ENFJ,ENTP,INTP,INTP,INFJ,ENTJ,ESFP,0.10750000000000001,0.1317999999999999,0.1153,1.3875999999999997,2.653999999999999,3.433099999999998,0.0734999999999999,0.1970999999999998,0.3692999999999998,0.9423999999999997,0.0646,0.45129999999999987,0.0681,0.1214,0.5290999999999999,0.13779999999999998,0.1273,0.1085,0.06509999999999999,0.0648999999999999,0.2344,0.0643,0.0673999999999999,0.1255,0.1339,0.0938999999999999,0.060700000000000004,0.0653,0.0603,0.0589,0.06309999999999999,0.0627999999999999,0.0627999999999999,0.13690000000000002,0.0681,0.06559999999999999
ESFP,ESTJ,ENTJ,INTJ,ENTP,ISFP,INTJ,ESTJ,ISFP,ESFJ,ISFP,ENFJ,ISFP,ENFJ,ESFP,INTJ,ESFP,ESFJ,ISFP,INFJ,ENTP,ESFJ,ESFP,INTJ,INTP,ISFP,INTJ,INTJ,INFJ,ENTJ,INTJ,INFJ,INFJ,ENFJ,ENFJ,INFJ,0.1072999999999999,0.1311999999999999,0.10629999999999999,1.1645999999999994,2.568599999999999,3.064099999999998,0.0689999999999999,0.1939999999999999,0.36569999999999986,0.8662999999999995,0.0624999999999999,0.3575999999999999,0.068,0.1020999999999998,0.4480999999999996,0.10350000000000001,0.1009999999999999,0.10439999999999999,0.0627999999999999,0.0644,0.2052999999999999,0.0541,0.060200000000000004,0.11359999999999999,0.1098,0.0932,0.0560999999999999,0.0586999999999999,0.0579999999999999,0.0419,0.050199999999999995,0.0625,0.0625,0.1339999999999999,0.0653999999999999,0.0615
ISTJ,ESFJ,ESFJ,ESTJ,ESFP,ESFP,ENTJ,ENTJ,ISFJ,ESTJ,ESTJ,INTP,ESTJ,INTP,ENTP,ENTJ,INTJ,ISFP,ENTP,ENFJ,ISFP,ISFJ,ENFJ,INFJ,ISFP,ISFJ,INFJ,ENTP,ESTJ,ISFP,ISFJ,ENFJ,ENFJ,INTP,INTP,INTP,0.1004999999999999,0.1259999999999998,0.0859,1.1515999999999997,2.279799999999999,2.987099999999999,0.0689,0.1560999999999999,0.34219999999999995,0.8365999999999997,0.059699999999999996,0.2724999999999999,0.0464999999999999,0.09649999999999989,0.4182999999999998,0.1009999999999999,0.1001999999999999,0.09989999999999999,0.0409,0.057699999999999904,0.2023999999999999,0.0489,0.0559,0.1118,0.1096999999999999,0.0888,0.0542,0.0558,0.0514,0.0409999999999999,0.0455,0.0609,0.0609,0.09459999999999999,0.0627,0.055
ENFJ,INTJ,ISFP,ISFJ,ESTJ,ENTP,ESFJ,INTJ,ENTP,ENTJ,INTP,ESTJ,INTP,ESTJ,ISFP,ISFJ,ISFJ,INTJ,ESTJ,ESFJ,ESTJ,ESTJ,ENTP,ISTJ,ESTJ,ISTJ,ISFP,ISFJ,ISTJ,ISFJ,ESFP,ENTP,ENTP,ESTJ,ISTJ,ESTJ,0.0971999999999999,0.1217,0.0713,1.1491999999999993,2.1609999999999996,2.691099999999998,0.0628999999999999,0.15239999999999998,0.2823999999999999,0.7517999999999996,0.052599999999999994,0.20689999999999958,0.0427,0.0821999999999999,0.37629999999999963,0.09809999999999999,0.0955,0.0949999999999999,0.039599999999999996,0.053500000000000006,0.20069999999999988,0.0446,0.0519,0.1094999999999999,0.0893,0.0881,0.047799999999999995,0.052399999999999995,0.0456,0.0402,0.0433,0.0503999999999999,0.0503999999999999,0.0812999999999999,0.06,0.048100000000000004
INTP,ISFJ,ESTJ,ESFP,INTJ,ESTJ,ISFJ,ISFJ,ESTJ,ISFJ,ENTJ,ENTP,ENTP,ISTJ,ENTJ,ESTJ,ISFP,ISTJ,INTP,ISTJ,INTP,ENTJ,INTJ,ENTJ,ISTJ,ESTJ,ESFP,ESFP,ENFJ,ESFJ,ESTJ,ESTJ,ESTJ,ENTP,INFJ,ENTP,0.09590000000000001,0.0836,0.0695,1.0788999999999995,2.0200999999999993,2.585399999999999,0.0472,0.14579999999999999,0.24859999999999993,0.6716999999999995,0.025999999999999898,0.19539999999999969,0.037000000000000005,0.0795,0.36769999999999936,0.0965,0.0811,0.0808999999999999,0.0370999999999999,0.053099999999999994,0.1986999999999999,0.0422,0.037,0.107,0.08399999999999991,0.0847999999999999,0.0441999999999998,0.052,0.0451999999999999,0.0401999999999999,0.0392,0.0456,0.0456,0.0761999999999998,0.049,0.0427999999999999
ESTP,ISTJ,ISFJ,ISFP,ISFP,INTJ,ISTJ,ESFP,INTJ,ISTJ,ISTJ,ISTJ,ISTJ,ENTP,ISTJ,ESFP,ESTJ,ESFP,INTJ,ISFJ,INTJ,ISTJ,ISTJ,ISFJ,ENTP,ISTP,ESTJ,ISFP,ENTP,ESFP,ISFP,ISTJ,ISTJ,ISTJ,INTJ,ISTJ,0.09250000000000001,0.0797999999999999,0.06509999999999991,1.0236999999999998,1.9481999999999988,2.2215999999999982,0.0399,0.1308999999999998,0.21300000000000002,0.6585999999999996,0.0237999999999998,0.1753999999999999,0.032100000000000004,0.0713999999999998,0.3668999999999999,0.07279999999999989,0.07909999999999989,0.0776,0.027999999999999997,0.0422999999999999,0.14639999999999997,0.0404,0.0356999999999998,0.10459999999999979,0.07350000000000001,0.0802,0.0414,0.048999999999999905,0.0399,0.039499999999999896,0.0371,0.0427999999999999,0.0427999999999999,0.0575,0.0445,0.034199999999999994
ENTJ,ESTP,ISTJ,ENTJ,ENTJ,ISTJ,ESTP,ISTJ,ENTJ,ISFP,ENTP,INTJ,INTJ,ISTP,INTP,ISTJ,ENTJ,ESTJ,ENTJ,ESTP,ENTJ,ISFP,ESTJ,ESFP,INTJ,ESFJ,ENTJ,ISTJ,ISTP,ISTJ,ENTJ,INTJ,INTJ,INTJ,ESFP,INTJ,0.08869999999999989,0.0699999999999999,0.0646,1.0195999999999996,1.6404999999999985,2.0545999999999984,0.0269999999999999,0.1284999999999999,0.16719999999999982,0.5186999999999994,0.023200000000000002,0.1629999999999999,0.028,0.0601999999999999,0.3477999999999996,0.0717999999999999,0.06659999999999999,0.06979999999999989,0.024599999999999803,0.037599999999999995,0.1404999999999998,0.0332,0.0339,0.08760000000000001,0.059699999999999906,0.0740999999999998,0.035,0.048299999999999996,0.036,0.0372,0.0343,0.0375,0.0375,0.0557,0.0409,0.0297
INFJ,ESFP,ISTP,ISTJ,ISTJ,ENTJ,ISFP,ISFP,ISTJ,ESFP,INTJ,ESTP,ISTP,INTJ,INTJ,ISFP,ISTJ,ISTP,ISTJ,ESFP,ISTJ,ESFP,ISTP,ESTP,ESTP,ENTJ,ISTJ,ENTJ,ESTP,ESTJ,ISTJ,ISTP,ISTP,ESTP,ESTP,ESTP,0.0804,0.0695999999999999,0.061700000000000005,0.8053999999999994,1.635899999999999,1.7348999999999988,0.026799999999999997,0.11159999999999978,0.1630999999999999,0.5037999999999999,0.0189,0.1424999999999998,0.0265,0.0582999999999999,0.2954999999999997,0.0714999999999999,0.0645,0.0638,0.0232,0.030999999999999903,0.13790000000000002,0.0316,0.0287,0.07970000000000001,0.0521,0.0710999999999999,0.0349,0.0477999999999999,0.032600000000000004,0.0344999999999999,0.0306,0.0311,0.0311,0.0493,0.0363,0.0291
ISTP,ISFP,ESFP,ESTP,ESTP,ESTP,ESFP,ESTP,ESTP,ESTP,ISTP,ISTP,ESTP,ESTP,ESTP,ESTP,ESTP,ENTJ,ESTP,ISFP,ESTP,ESTP,ESTP,ISFP,ENTJ,ESFP,ESTP,ISTP,INTJ,ISTP,ISTP,ESTP,ESTP,ENTJ,ISFP,ENTJ,0.07759999999999989,0.0626999999999999,0.0604999999999999,0.6808999999999997,1.2072999999999987,1.4251999999999985,0.0262,0.0947,0.1628,0.47379999999999955,0.013999999999999999,0.1396999999999996,0.0254,0.0536,0.2679999999999998,0.0518,0.05149999999999991,0.0542,0.0222,0.0275,0.11009999999999989,0.0248999999999999,0.0262,0.0749,0.0516999999999999,0.061799999999999994,0.0249,0.0347,0.0315,0.0297,0.0252,0.0294,0.0294,0.047299999999999995,0.028999999999999998,0.0282
INTJ,ISTP,ESTP,ISTP,ISTP,ISTP,ISTP,ISTP,ISTP,ISTP,ESTP,ENTJ,ENTJ,ENTJ,ISTP,ISTP,ISTP,ESTP,ISTP,ISTP,ISTP,ISTP,ENTJ,ISTP,ISTP,ESTP,ISTP,ESTP,ENTJ,ESTP,ESTP,ENTJ,ENTJ,ISTP,ISTP,ISTP,0.0772999999999999,0.0441999999999999,0.053099999999999994,0.6249999999999997,1.0883999999999987,1.3607999999999987,0.0197,0.0746,0.1535999999999999,0.43389999999999945,0.0119,0.10979999999999991,0.0218,0.0429,0.2043999999999997,0.0438,0.0497999999999999,0.0513,0.0218999999999999,0.0271,0.0873999999999997,0.0233,0.0257,0.062099999999999905,0.0432,0.06029999999999999,0.0194,0.034199999999999994,0.0224,0.0203,0.0234,0.027299999999999998,0.027299999999999998,0.0442,0.028999999999999998,0.0279
